@relation 'TargetMail-weka.filters.unsupervised.attribute.Remove-V-R1,2'

@attribute CustomerKey numeric
@attribute GeographyKey numeric

@data
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11040.652174,450.26087
11040.652174,450.26087
11040.652174,450.26087
11040.652174,450.26087
11040.652174,450.26087
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11040.652174,450.26087
11040.652174,450.26087
11040.652174,450.26087
11040.652174,450.26087
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11040.652174,450.26087
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11040.652174,450.26087
11040.652174,450.26087
11040.652174,450.26087
11040.652174,450.26087
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11040.652174,450.26087
11025.447368,25.236842
11025.447368,25.236842
11025.447368,25.236842
11040.652174,450.26087
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11040.652174,450.26087
11040.652174,450.26087
11040.652174,450.26087
11040.652174,450.26087
11040.652174,450.26087
11040.652174,450.26087
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11040.652174,450.26087
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
11078.153846,97.871795
